signatuur,handle,manifest
PER O 4 A,https://hdl.handle.net/1887.1/item:1652459,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1652459/manifest
VUL 90 B,https://hdl.handle.net/1887.1/item:1667262,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667262/manifest
SCA 69,https://hdl.handle.net/1887.1/item:1669458,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1669458/manifest
BPL 76 C,https://hdl.handle.net/1887.1/item:1686975,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686975/manifest
BPL 127 D,https://hdl.handle.net/1887.1/item:1678412,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1678412/manifest
BPL 136 D,https://hdl.handle.net/1887.1/item:1594995,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1594995/manifest
BPL 2894,https://hdl.handle.net/1887.1/item:1679726,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1679726/manifest
BPL 3382,https://hdl.handle.net/1887.1/item:1679119,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1679119/manifest
BPL 3477,https://hdl.handle.net/1887.1/item:1672013,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1672013/manifest
GRO 16,https://hdl.handle.net/1887.1/item:1681083,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1681083/manifest
GRO 67,https://hdl.handle.net/1887.1/item:1679207,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1679207/manifest
LIP 50,https://hdl.handle.net/1887.1/item:1653808,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1653808/manifest
LTK 168,https://hdl.handle.net/1887.1/item:1678947,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1678947/manifest
LTK 611,https://hdl.handle.net/1887.1/item:881537,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:881537/manifest
LTK 1028,https://hdl.handle.net/1887.1/item:1678075,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1678075/manifest
LTK 1031,https://hdl.handle.net/1887.1/item:1681237,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1681237/manifest
PER F 18,https://hdl.handle.net/1887.1/item:1668693,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1668693/manifest
SCA 14,https://hdl.handle.net/1887.1/item:1678556,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1678556/manifest
VCQ 30,https://hdl.handle.net/1887.1/item:1680639,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1680639/manifest
BPG 49 A,https://hdl.handle.net/1887.1/item:878785,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:878785/manifest
BPL 48,https://hdl.handle.net/1887.1/item:1606013,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1606013/manifest
BPL 90,https://hdl.handle.net/1887.1/item:1681482,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1681482/manifest
BPL 109,https://hdl.handle.net/1887.1/item:1678256,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1678256/manifest
BPL 111: 1,https://hdl.handle.net/1887.1/item:1668257,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1668257/manifest
BPL 111: 2,https://hdl.handle.net/1887.1/item:1653716,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1653716/manifest
BPL 118,https://hdl.handle.net/1887.1/item:848447,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:848447/manifest
BPL 126,https://hdl.handle.net/1887.1/item:1680068,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1680068/manifest
BPL 138,https://hdl.handle.net/1887.1/item:1668926,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1668926/manifest
BPL 178,https://hdl.handle.net/1887.1/item:1668518,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1668518/manifest
BPL 191 C,https://hdl.handle.net/1887.1/item:1680866,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1680866/manifest
BPL 198 A,https://hdl.handle.net/1887.1/item:1680232,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1680232/manifest
BPL 217,https://hdl.handle.net/1887.1/item:1679787,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1679787/manifest
BPL 2391: b,https://hdl.handle.net/1887.1/item:1681574,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1681574/manifest
BPL 2508,https://hdl.handle.net/1887.1/item:1680146,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1680146/manifest
LTK 231,https://hdl.handle.net/1887.1/item:1806195,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1806195/manifest
LTK 337,https://hdl.handle.net/1887.1/item:1671423,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1671423/manifest
BPL 4,https://hdl.handle.net/1887.1/item:1679348,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1679348/manifest
BPL 1800,https://hdl.handle.net/1887.1/item:1669863,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1669863/manifest
BPL 1949,https://hdl.handle.net/1887.1/item:1667560,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667560/manifest
BPL 2905,https://hdl.handle.net/1887.1/item:1669553,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1669553/manifest
BPL 2231,https://hdl.handle.net/1887.1/item:1669105,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1669105/manifest
BPL 2480,https://hdl.handle.net/1887.1/item:1671012,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1671012/manifest
BPL 2482,https://hdl.handle.net/1887.1/item:1670753,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1670753/manifest
BPL 2483,https://hdl.handle.net/1887.1/item:1670422,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1670422/manifest
BPL 2627,https://hdl.handle.net/1887.1/item:848872,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:848872/manifest
BPL 2706,https://hdl.handle.net/1887.1/item:1671155,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1671155/manifest
BPL 2782,https://hdl.handle.net/1887.1/item:1672344,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1672344/manifest
BPL 2795,https://hdl.handle.net/1887.1/item:1671906,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1671906/manifest
BPL 2851,https://hdl.handle.net/1887.1/item:1671113,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1671113/manifest
BPL 2856,https://hdl.handle.net/1887.1/item:1672425,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1672425/manifest
LTK 218,https://hdl.handle.net/1887.1/item:1686174,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686174/manifest
LTK 237,https://hdl.handle.net/1887.1/item:1686774,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686774/manifest
LTK 247,https://hdl.handle.net/1887.1/item:1687530,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1687530/manifest
LTK 263,https://hdl.handle.net/1887.1/item:1684431,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1684431/manifest
LTK 278,https://hdl.handle.net/1887.1/item:1687148,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1687148/manifest
LTK 284,https://hdl.handle.net/1887.1/item:1685930,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1685930/manifest
LTK 304,https://hdl.handle.net/1887.1/item:1687308,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1687308/manifest
LTK 316,https://hdl.handle.net/1887.1/item:1686299,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686299/manifest
LTK 318,https://hdl.handle.net/1887.1/item:1685644,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1685644/manifest
LTK 336,https://hdl.handle.net/1887.1/item:1685390,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1685390/manifest
ABL 14,https://hdl.handle.net/1887.1/item:1684659,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1684659/manifest
BPL 17,https://hdl.handle.net/1887.1/item:1686413,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686413/manifest
BPL 43,https://hdl.handle.net/1887.1/item:1685155,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1685155/manifest
BPL 91,https://hdl.handle.net/1887.1/item:1686587,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686587/manifest
BPL 137 D,https://hdl.handle.net/1887.1/item:1686524,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686524/manifest
BPL 139 B,https://hdl.handle.net/1887.1/item:1687093,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1687093/manifest
BPL 154,https://hdl.handle.net/1887.1/item:1684739,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1684739/manifest
BPL 164,https://hdl.handle.net/1887.1/item:1684621,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1684621/manifest
BPL 186,https://hdl.handle.net/1887.1/item:1685282,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1685282/manifest
BPL 191 A,https://hdl.handle.net/1887.1/item:1684869,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1684869/manifest
BPL 191 BD,https://hdl.handle.net/1887.1/item:1686262,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1686262/manifest
BPL 191 E,https://hdl.handle.net/1887.1/item:884522,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:884522/manifest
BPL 194,https://hdl.handle.net/1887.1/item:1805705,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805705/manifest
BPL 195,https://hdl.handle.net/1887.1/item:1805142,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805142/manifest
BPL 197,https://hdl.handle.net/1887.1/item:1805480,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805480/manifest
BPL 225,https://hdl.handle.net/1887.1/item:1805059,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805059/manifest
BPL 226,https://hdl.handle.net/1887.1/item:1806126,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1806126/manifest
BPL 304,https://hdl.handle.net/1887.1/item:1804771,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1804771/manifest
BPL 1015,https://hdl.handle.net/1887.1/item:1805760,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805760/manifest
BPL 1715,https://hdl.handle.net/1887.1/item:1805241,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805241/manifest
BPL 1765,https://hdl.handle.net/1887.1/item:1805895,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805895/manifest
GRO 6,https://hdl.handle.net/1887.1/item:1805345,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805345/manifest
GRO 38,https://hdl.handle.net/1887.1/item:1805791,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805791/manifest
PER Q 85,https://hdl.handle.net/1887.1/item:1805562,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805562/manifest
SCA 1,https://hdl.handle.net/1887.1/item:1805678,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1805678/manifest
BPL 38 F,https://hdl.handle.net/1887.1/item:1837039,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1837039/manifest
BPL 45,https://hdl.handle.net/1887.1/item:1837371,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1837371/manifest
BPL 100 A,https://hdl.handle.net/1887.1/item:1837299,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1837299/manifest
BPL 121,https://hdl.handle.net/1887.1/item:1838361,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1838361/manifest
BPL 1905,https://hdl.handle.net/1887.1/item:881513,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:881513/manifest
BPL 1956,https://hdl.handle.net/1887.1/item:1837854,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1837854/manifest
BPL 3094,https://hdl.handle.net/1887.1/item:1616858,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1616858/manifest
BPL 3103,https://hdl.handle.net/1887.1/item:1837757,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1837757/manifest
BPL 3284,https://hdl.handle.net/1887.1/item:1838428,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1838428/manifest
LTK 169,https://hdl.handle.net/1887.1/item:1839168,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1839168/manifest
LTK 233,https://hdl.handle.net/1887.1/item:885149,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:885149/manifest
LTK 287,https://hdl.handle.net/1887.1/item:1838587,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1838587/manifest
LTK 303,https://hdl.handle.net/1887.1/item:1838926,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1838926/manifest
LTK 1104,https://hdl.handle.net/1887.1/item:1838135,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1838135/manifest
Or. 4725,https://hdl.handle.net/1887.1/item:1836971,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1836971/manifest
SCA 54,https://hdl.handle.net/1887.1/item:1885015,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885015/manifest
VCF 11,https://hdl.handle.net/1887.1/item:1879191,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1879191/manifest
VCF 6,https://hdl.handle.net/1887.1/item:1882818,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1882818/manifest
VCQ 13,https://hdl.handle.net/1887.1/item:1883282,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1883282/manifest
VCQ 37,https://hdl.handle.net/1887.1/item:1878906,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1878906/manifest
VGG F 9,https://hdl.handle.net/1887.1/item:1885014,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885014/manifest
ABL 28,https://hdl.handle.net/1887.1/item:1881569,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1881569/manifest
BPL 11 D,https://hdl.handle.net/1887.1/item:1880842,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1880842/manifest
BPL 127 AC,https://hdl.handle.net/1887.1/item:1879505,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1879505/manifest
BPL 146,https://hdl.handle.net/1887.1/item:1885782,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885782/manifest
BPL 1813,https://hdl.handle.net/1887.1/item:1879098,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1879098/manifest
BPL 182,https://hdl.handle.net/1887.1/item:1881388,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1881388/manifest
BPL 2658,https://hdl.handle.net/1887.1/item:1886573,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1886573/manifest
BPL 2716,https://hdl.handle.net/1887.1/item:1885928,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885928/manifest
BPL 2887,https://hdl.handle.net/1887.1/item:1886303,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1886303/manifest
BPL 3179,https://hdl.handle.net/1887.1/item:1885468,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885468/manifest
LIP 53,https://hdl.handle.net/1887.1/item:1885734,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885734/manifest
MEY 4,https://hdl.handle.net/1887.1/item:1885530,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1885530/manifest
VCF 12,https://hdl.handle.net/1887.1/item:1889899,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1889899/manifest
VCF 13,https://hdl.handle.net/1887.1/item:1889437,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1889437/manifest
VCF 14,https://hdl.handle.net/1887.1/item:1914511,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1914511/manifest
VCF 15,https://hdl.handle.net/1887.1/item:1913677,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1913677/manifest
VCF 16,https://hdl.handle.net/1887.1/item:1913524,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1913524/manifest
VCF 17,https://hdl.handle.net/1887.1/item:1914032,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1914032/manifest
VCF 18,https://hdl.handle.net/1887.1/item:1913108,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1913108/manifest
VCF 20,https://hdl.handle.net/1887.1/item:1940086,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1940086/manifest
VCF 21,https://hdl.handle.net/1887.1/item:1937723,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1937723/manifest
VCF 22,https://hdl.handle.net/1887.1/item:1939389,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1939389/manifest
VCF 23,https://hdl.handle.net/1887.1/item:1937165,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1937165/manifest
VCF 8,https://hdl.handle.net/1887.1/item:1938821,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1938821/manifest
VUL 91 B,https://hdl.handle.net/1887.1/item:1937686,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1937686/manifest
1365 A 15,https://hdl.handle.net/1887.1/item:1987457,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1987457/manifest
1365 G 14,https://hdl.handle.net/1887.1/item:1941531,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1941531/manifest
1367 C 12,https://hdl.handle.net/1887.1/item:1941357,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1941357/manifest
1367 C 16,https://hdl.handle.net/1887.1/item:1941419,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1941419/manifest
1369 C 7,https://hdl.handle.net/1887.1/item:1936866,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1936866/manifest
1496 C 13,https://hdl.handle.net/1887.1/item:1939696,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1939696/manifest
1497 B 11,https://hdl.handle.net/1887.1/item:1936602,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1936602/manifest
1497 B 12,https://hdl.handle.net/1887.1/item:1938202,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1938202/manifest
1497 E 4,https://hdl.handle.net/1887.1/item:1941632,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1941632/manifest
1497 G 42,https://hdl.handle.net/1887.1/item:1940710,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1940710/manifest
1497 G 43,https://hdl.handle.net/1887.1/item:1940494,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1940494/manifest
1498 B 1,https://hdl.handle.net/1887.1/item:1941744,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1941744/manifest
1498 B 10,https://hdl.handle.net/1887.1/item:1940992,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1940992/manifest
1498 B 2,https://hdl.handle.net/1887.1/item:1938676,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1938676/manifest
1498 C 4,https://hdl.handle.net/1887.1/item:1981076,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1981076/manifest
1498 F 1,https://hdl.handle.net/1887.1/item:1981839,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1981839/manifest
1407 A 2-3,https://hdl.handle.net/1887.1/item:1987448,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1987448/manifest
1498 B 11-12,https://hdl.handle.net/1887.1/item:1987449,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1987449/manifest
1367 B 14: 1,https://hdl.handle.net/1887.1/item:1982012,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1982012/manifest
1367 B 14: 2,https://hdl.handle.net/1887.1/item:1980929,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1980929/manifest
1368 D 21: 1,https://hdl.handle.net/1887.1/item:1981273,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1981273/manifest
1368 D 21: 2,https://hdl.handle.net/1887.1/item:1981068,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1981068/manifest
1368 D 21: 3,https://hdl.handle.net/1887.1/item:1981820,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1981820/manifest
1370 E 16: 1,https://hdl.handle.net/1887.1/item:1981739,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1981739/manifest
1370 E 16: 2,https://hdl.handle.net/1887.1/item:1979734,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1979734/manifest
BPL 1010,https://hdl.handle.net/1887.1/item:1989383,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1989383/manifest
